iter	Passed	Remaining
0	0	70
1	1	68
2	2	65
3	2	63
4	3	64
5	4	64
6	4	64
7	5	64
8	6	64
9	7	63
10	8	68
11	9	71
12	10	71
13	11	71
14	12	70
15	13	69
16	14	68
17	14	67
18	15	65
19	16	65
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	57
26	21	56
27	22	57
28	23	57
29	24	58
30	25	57
31	26	56
32	27	55
33	28	54
34	29	54
35	29	52
36	30	51
37	31	50
38	31	50
39	32	49
40	33	48
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	40	43
48	41	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	63	17
78	64	17
79	65	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	82	1
98	84	0
99	85	0
